,API,Operator,Lease_Name,Well_Number,Spud_Date,TD,Months_Produced,Completion_Date,First_Production_Day,Cum_BOE,Cum_Gas,Cum_Oil,Daily_Gas,Daily_Oil,First_Month_Gas,First_Month_Oil,Drilling_Type,Production_type,Reservoir,Field,Lat,Long,Perforated_Interval_Length
258,4230131799,"ANADARKO E&P ONSHORE, LLC",SEVENGILLS 55-1-37,1H,8/6/2012,13351.0,47.0,10/30/2012,11/1/2012,358371.0,1519616.0,105102.0,887.0,18.0,14406.0,4226.0,H,GAS,BONE SPRING,SANDBAR,31.9115141,-103.71725490000001,3938.0
259,4230131770,"OCCIDENTAL ENERGY COMPANY,INC.",REGAN-MCELVAIN,1H,6/27/2012,14520.0,55.0,11/29/2012,11/1/2012,366954.0,740859.0,243477.0,409.0,93.0,,2699.0,H,OIL,WOLFCAMP,PHANTOM,31.7260788,-103.5858781,3183.0
260,4230131743,ENERGEN CORPORATION,RIVER JACK 1-53,0,5/15/2012,15370.0,61.0,6/29/2012,7/1/2012,91784.0,127798.0,70484.0,27.0,21.0,,7061.0,H,OIL,BONE SPRING,TWO GEORGES,31.6709398,-103.5112903,3359.0
261,4230131653,ENERGEN CORPORATION,RED BULL 1-72,0,1/16/2012,15285.0,65.0,3/8/2012,3/1/2012,211997.0,410959.0,143504.0,146.0,44.0,,2215.0,H,OIL,BONE SPRING,TWO GEORGES,31.7077644,-103.5602454,3743.0
262,4230131698,ENERGEN CORPORATION,COPPERHEAD 53-14,0,3/9/2012,16300.0,63.0,4/27/2012,5/1/2012,892712.0,1191872.0,694067.0,452.0,247.0,,12279.0,H,OIL,BONE SPRING,TWO GEORGES,31.8527537,-103.52941729999999,3868.0
263,4230131738,ENERGEN CORPORATION,ANACONDA 53-24,0,5/23/2012,15992.0,61.0,7/29/2012,7/1/2012,285133.0,416825.0,215662.0,154.0,86.0,,25.0,H,OIL,BONE SPRING,TWO GEORGES,31.8293049,-103.498734,3792.0
264,4230131625,RD SHELL,LINDLEY 55-2-32 LOV,1H,11/22/2012,15352.0,48.0,3/26/2013,8/1/2013,262004.0,555839.0,169364.0,232.0,68.0,,13587.0,H,OIL,WOLFCAMP,PHANTOM,31.796795399999997,-103.7739515,4242.0
265,4230131823,"RSP PERMIAN, LLC",LUDEMAN,0,9/10/2012,17392.0,56.0,12/28/2012,12/1/2012,513355.0,746199.0,388989.0,905.0,138.0,,1494.0,H,OIL,BONE SPRING,TWO GEORGES,31.923004700000003,-103.42116870000001,4570.0
266,4230131842,RD SHELL,JOHNSON 1-86,0,1/6/2013,15612.0,51.0,5/5/2013,5/1/2013,432130.0,897275.0,282584.0,255.0,90.0,37692.0,8604.0,H,OIL,WOLFCAMP,PHANTOM,31.744912699999997,-103.5574714,3718.0
267,4230131715,RD SHELL,WHEAT 1-59 LOV,0,4/13/2013,16500.0,46.0,9/21/2013,9/1/2013,580188.0,873603.0,434588.0,804.0,375.0,7083.0,2371.0,H,OIL,WOLFCAMP,PHANTOM,31.6902006,-103.5323733,4729.0
268,4230131794,RD SHELL,UNIVERSITY 20 PW UNIT,0,11/3/2012,20050.0,46.0,2/17/2013,7/1/2013,205707.0,221796.0,168741.0,290.0,228.0,10639.0,8173.0,H,OIL,WOLFCAMP,PHANTOM,31.7398679,-103.36527120000001,7898.0
